Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
438, 10.10, 25.0, 3104.43, 52.39
439, 10.04, 26.7, 3104.43, 52.39
440, 10.05, 29.4, 3104.43, 52.39
441, 10.07, 21.4, 3104.43, 52.39
442, 10.03, 25.0, 3104.43, 52.39
443, 10.04, 21.4, 3104.34, 52.39
444, 9.98, 20.0, 3104.34, 52.39
445, 9.92, 26.7, 3104.34, 52.39
446, 9.98, 21.4, 3104.34, 52.39
447, 10.08, 20.0, 3104.34, 52.39
448, 9.96, 21.4, 3104.34, 52.39
449, 9.86, 31.2, 3104.34, 52.39
450, 10.01, 20.0, 3104.34, 52.39
451, 9.95, 21.4, 3104.34, 52.39
452, 9.98, 25.0, 3104.42, 52.39
453, 10.05, 21.4, 3104.42, 52.39
454, 9.99, 26.7, 3104.42, 52.39
455, 9.96, 20.0, 3104.42, 52.39
456, 10.01, 21.4, 3104.42, 52.39
457, 9.91, 26.7, 3104.42, 52.39
458, 9.90, 15.4, 3104.42, 52.39
459, 9.97, 21.4, 3104.42, 52.39
460, 9.98, 20.0, 3104.42, 52.39
461, 9.98, 26.7, 3104.42, 52.39
462, 9.97, 20.0, 3104.32, 52.39
463, 9.85, 26.7, 3104.32, 52.39
464, 9.84, 20.0, 3104.32, 52.39
465, 9.96, 26.7, 3104.32, 52.39
466, 10.02, 20.0, 3104.32, 52.39
467, 9.98, 26.7, 3104.32, 52.39
468, 10.00, 25.0, 3104.32, 52.39
469, 10.08, 21.4, 3104.32, 52.39
470, 10.09, 26.7, 3104.32, 52.39
471, 9.97, 20.0, 3104.39, 52.39
472, 9.96, 26.7, 3104.39, 52.39
473, 9.91, 20.0, 3104.39, 52.39
474, 10.09, 21.4, 3104.39, 52.39
475, 10.06, 21.4, 3104.39, 52.39
476, 10.11, 27.8, 3104.39, 52.39
477, 10.19, 28.6, 3104.39, 52.39
478, 10.08, 14.3, 3104.39, 52.39
479, 10.11, 26.7, 3104.39, 52.39
480, 9.96, 29.4, 3104.71, 52.39
481, 9.96, 20.0, 3104.71, 52.39
482, 9.86, 23.1, 3104.71, 52.39
483, 9.90, 20.0, 3104.71, 52.39
484, 10.06, 21.4, 3104.71, 52.39
485, 9.97, 25.0, 3104.71, 52.39
486, 10.01, 20.0, 3104.71, 52.39
487, 10.04, 26.7, 3104.71, 52.39
488, 10.09, 14.3, 3104.71, 52.39
489, 10.06, 25.0, 3104.62, 52.39
490, 10.11, 21.4, 3104.62, 52.39
491, 9.85, 29.4, 3104.62, 52.39
492, 9.91, 31.2, 3104.62, 52.39
493, 9.95, 21.4, 3104.62, 52.39
494, 9.95, 25.0, 3104.62, 52.39
495, 9.97, 21.4, 3104.62, 52.39
496, 9.95, 20.0, 3104.62, 52.39
497, 11.44, 25.0, 3104.70, 52.39
498, 9.97, 26.7, 3104.70, 52.39
499, 10.01, 20.0, 3104.70, 52.39
500, 10.08, 21.4, 3104.70, 52.39
501, 10.02, 21.4, 3104.70, 52.39
502, 10.05, 25.0, 3104.70, 52.39
503, 9.97, 21.4, 3104.70, 52.39
504, 10.00, 26.7, 3104.70, 52.39
505, 10.01, 20.0, 3104.50, 52.39
506, 10.06, 31.2, 3104.58, 52.39
507, 10.03, 20.0, 3104.58, 52.39
508, 10.05, 21.4, 3104.58, 52.39
509, 10.06, 21.4, 3104.58, 52.39
510, 10.11, 21.4, 3104.58, 52.39
511, 10.01, 21.4, 3104.58, 52.39
512, 10.03, 21.4, 3104.58, 52.39
513, 10.03, 25.0, 3104.58, 52.39
514, 10.01, 21.4, 3104.58, 52.39
515, 10.07, 20.0, 3104.58, 52.39
516, 10.09, 26.7, 3104.83, 52.39
517, 10.12, 28.6, 3104.83, 52.39
518, 10.07, 29.4, 3104.74, 52.39
519, 10.04, 23.1, 3104.74, 52.39
520, 10.00, 21.4, 3104.74, 52.39
521, 10.01, 15.4, 3104.74, 52.39
522, 10.05, 21.4, 3104.74, 52.39
523, 10.01, 31.2, 3104.74, 52.39
524, 10.02, 26.7, 3104.74, 52.39
525, 9.98, 21.4, 3104.74, 52.39
526, 9.97, 21.4, 3104.74, 52.39
527, 9.97, 21.4, 3104.74, 52.39
528, 9.98, 20.0, 3104.74, 52.39
529, 10.08, 31.2, 3104.74, 52.39
530, 10.04, 20.0, 3104.82, 52.39
531, 10.06, 25.0, 3104.82, 52.39
532, 9.99, 21.4, 3104.82, 52.39
533, 10.04, 29.4, 3104.82, 52.39
534, 10.05, 26.7, 3104.82, 52.39
535, 10.11, 21.4, 3104.82, 52.39
