Frame,Total_Inf(ms),YOLO(ms),ResNet(ms),UNet(ms),RAM(MB)
1201,245.26,40.96,13.30,190.98,3188.39
1202,230.41,43.81,13.80,172.78,3197.10
1203,253.31,40.72,13.06,199.52,3199.06
1204,225.01,38.09,13.23,173.68,3202.00
1205,230.54,42.81,13.28,174.42,3204.49
1206,222.56,38.07,13.24,171.24,3204.48
1207,230.02,38.13,13.32,178.55,3204.73
1208,226.24,38.36,13.33,174.54,3203.46
1209,222.61,37.92,13.29,171.38,3203.45
1210,222.49,38.45,13.38,170.65,3203.69
1211,223.30,38.17,13.16,171.96,3203.68
1212,245.81,38.12,13.49,194.19,3213.84
1213,225.83,38.05,13.31,174.45,3214.33
1214,233.46,42.14,14.96,176.34,3212.07
1215,221.93,38.57,13.40,169.93,3212.31
1216,226.48,38.20,13.50,174.75,3213.54
1217,224.89,38.42,13.19,173.27,3213.53
1218,220.51,37.89,13.06,169.54,3213.53
1219,219.67,38.11,13.16,168.38,3213.77
1220,240.82,40.18,14.46,186.17,3217.71
1221,245.77,37.91,13.27,194.57,3217.71
1222,227.94,38.71,13.30,175.91,3218.45
1223,228.29,39.44,13.27,175.56,3218.21
1224,230.08,38.76,13.25,178.06,3218.95
1225,231.48,39.63,14.85,176.98,3219.20
1226,227.43,41.60,13.27,172.55,3219.20
1227,222.89,39.55,13.48,169.84,3219.42
1228,222.13,39.35,13.10,169.66,3219.05
1229,233.77,39.06,13.21,181.48,3193.15
1230,250.34,38.86,13.18,198.28,3216.61
1231,230.13,38.95,13.15,178.01,3216.72
1232,227.84,40.08,13.40,174.34,3218.46
1233,225.51,37.96,13.21,174.32,3218.44
1234,224.56,38.66,13.18,172.70,3218.69
1235,225.65,41.34,13.39,170.89,3218.69
1236,227.88,41.22,13.37,173.26,3218.71
1237,224.42,38.39,13.19,172.81,3218.69
1238,227.69,41.18,13.07,173.42,3218.69
1239,253.02,41.33,13.23,198.45,3218.69
1240,233.31,40.53,13.18,179.57,3219.92
1241,230.27,41.55,13.17,175.54,3220.16
1242,227.52,40.31,13.13,174.06,3220.24
1243,229.57,41.09,13.15,175.32,3220.16
1244,234.51,40.64,13.21,180.65,3219.80
1245,230.96,40.70,13.20,177.04,3219.53
1246,226.25,40.48,13.19,172.56,3219.09
1247,224.36,38.05,13.14,173.15,3219.76
1248,254.31,40.79,13.39,200.12,3220.89
1249,229.93,38.33,13.49,178.08,3220.39
1250,226.75,38.28,13.57,174.89,3220.39
1251,227.56,38.07,13.12,176.35,3220.64
1252,226.39,38.18,13.24,174.96,3220.65
1253,230.03,41.03,13.25,175.72,3221.86
1254,225.50,38.03,13.24,174.20,3221.86
1255,226.43,40.32,13.17,172.93,3221.86
1256,224.93,39.49,13.55,171.87,3221.97
1257,271.02,38.46,14.35,218.19,3187.36
1258,238.62,39.53,13.12,185.94,3212.71
1259,229.13,38.68,13.56,176.87,3212.96
1260,227.55,38.29,13.26,175.98,3213.21
1261,227.56,40.74,13.42,173.38,3214.44
1262,228.03,40.36,13.10,174.54,3214.68
1263,222.90,40.44,13.12,169.32,3214.45
1264,220.79,40.30,13.14,167.33,3215.17
1265,227.36,38.03,13.31,175.99,3215.91
1266,248.08,38.87,13.46,195.74,3217.39
1267,226.22,37.98,13.52,174.71,3217.63
1268,226.84,38.01,13.20,175.61,3217.63
1269,228.20,38.22,13.22,176.75,3219.36
1270,224.24,38.60,13.27,172.36,3219.36
1271,224.51,39.58,13.47,171.45,3219.36
1272,224.69,38.94,13.60,172.13,3219.36
1273,228.85,38.51,13.16,177.17,3219.35
1274,225.51,38.65,13.17,173.67,3219.35
1275,246.37,38.75,13.22,194.37,3220.09
1276,226.27,38.00,13.23,175.03,3220.32
1277,230.37,40.44,13.21,176.70,3220.82
1278,225.80,40.66,13.15,171.96,3220.82
1279,223.60,41.11,13.15,169.31,3221.06
1280,231.28,40.72,13.75,176.79,3221.06
1281,227.41,38.85,13.22,175.32,3221.07
1282,221.69,38.42,13.17,170.08,3221.56
1283,225.50,40.42,13.13,171.94,3222.29
1284,263.70,40.65,13.51,209.51,3198.18
1285,235.67,42.24,13.17,180.25,3214.90
1286,227.98,41.19,13.20,173.56,3215.63
1287,231.55,39.63,13.54,178.35,3216.62
1288,227.01,42.22,14.03,170.74,3217.60
1289,230.23,40.40,12.92,176.89,3220.31
1290,231.47,40.11,13.02,178.32,3220.57
1291,228.44,38.03,13.55,176.84,3221.31
1292,225.06,38.10,13.06,173.88,3222.54
1293,253.43,38.06,13.04,202.31,3223.74
1294,232.08,38.00,13.23,180.81,3223.74
1295,230.88,38.12,13.18,179.56,3223.74
1296,229.86,41.10,13.18,175.56,3223.74
1297,230.28,40.96,13.11,176.19,3222.90
1298,229.79,41.06,13.25,175.46,3222.45
1299,229.30,40.88,13.80,174.61,3222.44
1300,225.36,39.66,13.60,172.08,3222.55
1301,222.93,38.30,13.18,171.43,3222.79
1302,250.73,40.45,13.18,197.07,3223.60
1303,232.33,40.56,13.21,178.54,3223.59
1304,231.00,41.15,13.25,176.57,3223.51
1305,229.14,38.81,13.40,176.91,3224.00
1306,226.36,38.17,13.17,175.00,3223.99
1307,227.34,38.71,13.32,175.29,3223.99
1308,223.12,38.58,13.46,171.06,3224.23
1309,223.40,37.96,13.06,172.35,3224.23
1310,221.23,39.08,13.45,168.68,3224.71
1311,250.46,37.94,13.15,199.34,3225.77
1312,229.49,41.24,13.50,174.73,3225.69
1313,246.87,40.36,13.19,193.30,3198.25
1314,229.35,41.97,13.38,173.97,3217.69
1315,225.78,38.74,13.21,173.81,3220.43
1316,227.90,42.84,13.29,171.75,3222.39
1317,232.00,40.47,13.39,178.12,3223.84
1318,227.64,41.14,13.67,172.81,3224.30
1319,220.03,38.78,13.30,167.93,3225.53
1320,251.12,40.43,13.20,197.47,3226.04
1321,230.14,37.93,13.27,178.92,3226.04
1322,229.22,40.71,13.48,175.01,3227.53
1323,227.95,40.63,13.09,174.21,3227.51
1324,230.14,40.59,13.10,176.43,3227.27
1325,231.33,41.27,13.78,176.25,3227.75
1326,227.55,40.60,13.19,173.75,3228.00
1327,228.68,37.93,13.21,177.52,3227.75
1328,227.43,40.28,13.22,173.90,3227.75
1329,253.99,38.18,13.10,202.69,3228.00
1330,239.30,38.24,13.16,187.88,3228.49
1331,236.96,40.48,13.38,183.08,3228.48
1332,231.17,38.14,13.24,179.76,3228.48
1333,226.74,38.29,13.16,175.27,3228.58
1334,237.77,38.82,13.29,185.64,3229.57
1335,230.26,38.68,13.22,178.34,3229.57
1336,228.12,38.89,13.24,175.97,3229.55
1337,224.83,38.84,13.35,172.62,3229.55
1338,258.74,38.72,13.29,206.71,3230.04
1339,232.37,38.66,13.28,180.40,3230.04
1340,233.24,38.68,13.24,181.31,3230.04
1341,250.55,39.18,13.73,197.62,3201.35
1342,245.40,42.71,14.24,188.44,3205.01
1343,233.11,39.65,12.99,180.45,3223.22
1344,229.82,39.87,13.26,176.67,3223.96
1345,227.37,42.28,13.46,171.60,3225.19
1346,238.53,41.53,13.16,183.83,3229.21
1347,229.37,42.21,13.40,173.73,3229.95
1348,254.00,40.69,13.24,200.05,3230.68
1349,237.75,41.56,13.29,182.88,3230.59
1350,238.51,41.29,13.31,183.90,3229.21
1351,228.42,38.02,13.64,176.73,3229.21
1352,226.08,38.13,13.16,174.77,3229.20
1353,230.56,38.28,13.22,179.05,3229.19
1354,233.27,38.48,13.21,181.56,3230.17
1355,226.79,38.16,13.21,175.39,3232.18
1356,224.34,38.63,13.19,172.51,3230.16
1357,250.89,38.00,13.18,199.70,3230.15
1358,233.47,38.51,13.01,181.93,3232.14
1359,230.47,39.43,13.42,177.60,3230.14
1360,237.50,41.25,13.87,182.36,3230.13
1361,232.11,38.63,13.26,180.20,3234.13
1362,235.46,38.70,13.30,183.44,3235.36
1363,227.84,39.36,13.40,175.06,3235.36
1364,226.15,38.65,13.20,174.28,3235.44
1365,225.98,39.16,13.51,173.28,3235.36
1366,257.11,38.58,13.03,205.48,3236.56
1367,231.08,38.71,13.24,179.11,3234.55
1368,229.93,37.94,13.11,178.86,3232.55
1369,242.81,38.52,13.50,190.78,3197.36
1370,239.25,39.45,13.65,186.13,3200.93
1371,233.37,39.15,13.02,181.18,3226.59
1372,228.97,40.49,13.30,175.17,3227.33
1373,227.17,38.02,13.03,176.10,3228.56
1374,224.38,38.50,13.12,172.74,3229.50
1375,250.69,38.13,13.16,199.38,3229.74
1376,227.65,38.13,13.14,176.37,3230.23
1377,227.90,37.99,13.10,176.79,3230.01
1378,228.58,38.26,13.27,177.02,3231.48
1379,226.73,38.52,13.44,174.75,3231.72
1380,229.55,38.73,13.13,177.68,3231.72
1381,230.04,38.70,13.18,178.14,3231.71
1382,227.72,38.74,13.18,175.78,3233.19
1383,224.73,38.96,13.28,172.47,3232.11
1384,252.93,38.70,13.44,200.77,3232.09
1385,233.05,38.13,13.15,181.75,3234.09
1386,231.64,38.99,13.04,179.59,3239.14
1387,226.84,38.06,13.13,175.62,3239.38
1388,230.54,38.06,13.13,179.32,3240.20
1389,233.31,41.17,13.30,178.81,3239.88
1390,236.73,41.02,13.23,182.45,3239.60
1391,227.27,41.05,13.25,172.94,3239.59
1392,228.25,41.23,13.32,173.68,3239.59
1393,257.13,38.04,13.36,205.72,3239.58
1394,227.59,38.71,13.02,175.84,3239.82
1395,229.13,40.58,13.14,175.39,3239.82
1396,227.98,40.86,13.48,173.62,3239.81
1397,228.69,40.53,13.12,175.02,3239.80
1398,249.30,41.36,13.46,194.46,3207.32
1399,235.26,40.92,13.31,181.02,3234.17
1400,226.31,41.13,13.19,171.97,3235.40
1401,222.67,40.79,13.24,168.62,3232.37
1402,256.83,40.37,13.14,203.30,3236.54
1403,233.60,40.91,13.65,179.02,3236.78
1404,235.60,43.35,13.53,178.70,3236.77
1405,223.25,41.01,13.03,169.19,3236.77
1406,228.54,40.49,13.21,174.83,3237.51
1407,233.39,40.91,13.19,179.27,3238.47
1408,229.20,41.27,13.54,174.36,3238.46
1409,225.15,40.47,13.16,171.50,3238.45
1410,227.70,40.77,13.50,173.42,3238.69
1411,254.02,40.80,13.10,200.09,3239.67
1412,233.03,40.59,13.19,179.22,3239.66
1413,228.72,40.63,13.26,174.81,3239.65
1414,231.07,40.35,13.20,177.50,3241.87
1415,231.95,40.88,13.14,177.91,3241.09
1416,228.78,38.35,13.55,176.86,3240.92
1417,228.45,40.34,13.18,174.90,3240.91
1418,230.94,40.65,13.27,177.00,3240.83
1419,231.42,41.17,15.84,174.39,3240.58
1420,253.28,41.11,13.49,198.66,3242.05
1421,226.21,37.95,13.23,175.02,3242.05
1422,227.72,41.26,13.15,173.29,3242.05
1423,224.38,38.28,13.48,172.59,3242.05
1424,226.69,40.32,13.49,172.87,3242.05
1425,221.40,38.22,13.25,169.91,3242.05
1426,233.94,40.38,13.17,180.38,3226.98
1427,228.30,41.15,13.28,173.86,3230.43
1428,228.34,41.03,13.26,174.03,3241.75
1429,249.40,40.34,13.10,195.95,3242.49
1430,227.72,40.64,13.06,174.01,3242.73
1431,234.80,41.53,12.93,180.32,3243.72
1432,225.82,40.95,13.24,171.61,3243.72
1433,229.40,40.33,13.16,175.90,3244.21
1434,229.00,40.74,13.13,175.11,3244.21
1435,238.50,40.35,13.39,184.74,3239.81
1436,224.70,38.05,13.15,173.48,3237.84
1437,226.05,40.29,13.04,172.70,3241.06
1438,254.41,40.39,13.18,200.83,3241.05
1439,235.08,40.30,13.07,181.70,3242.99
1440,228.77,38.14,13.18,177.44,3243.23
1441,225.16,40.25,13.30,171.59,3241.23
1442,226.74,38.13,13.21,175.37,3243.22
1443,229.24,40.28,13.18,175.76,3242.97
1444,229.46,40.45,13.18,175.81,3242.97
1445,226.63,40.34,13.23,173.03,3242.96
1446,226.74,38.03,13.17,175.53,3243.21
1447,260.56,40.36,13.19,206.98,3242.19
1448,229.29,40.65,13.18,175.45,3243.93
1449,232.22,40.43,13.37,178.41,3241.76
1450,225.80,37.97,13.16,174.66,3243.67
1451,222.74,37.90,13.14,171.68,3244.16
1452,224.81,38.22,13.22,173.35,3244.16
1453,220.50,41.22,13.51,165.74,3244.16
1454,225.15,38.64,13.05,173.43,3244.16
1455,243.27,41.20,13.26,188.80,3217.10
1456,263.06,41.74,13.22,208.07,3239.25
1457,228.75,40.69,13.26,174.78,3239.25
1458,223.42,38.09,13.05,172.26,3239.26
1459,232.71,38.02,13.15,181.52,3240.47
1460,229.64,40.56,13.24,175.82,3240.47
1461,225.61,38.15,13.13,174.32,3240.47
1462,218.60,38.43,13.50,166.64,3240.47
1463,221.81,38.04,13.29,170.46,3240.69
1464,229.09,40.58,14.07,174.42,3240.44
1465,252.97,37.91,13.23,201.82,3242.44
1466,225.48,39.07,13.30,173.10,3242.31
1467,227.60,38.85,13.15,175.58,3242.19
1468,223.90,38.96,13.24,171.69,3242.44
1469,221.80,38.68,13.20,169.91,3242.68
1470,224.17,38.67,13.11,172.37,3242.68
1471,222.95,38.82,13.07,171.04,3242.68
1472,223.20,38.70,13.23,171.25,3242.92
1473,220.27,38.61,13.18,168.46,3242.92
1474,249.60,38.99,13.20,197.39,3242.92
1475,226.29,38.71,13.24,174.31,3243.17
1476,222.09,39.17,13.15,169.76,3242.93
1477,223.32,38.73,13.29,171.28,3243.16
1478,229.28,40.92,13.20,175.14,3243.66
1479,229.20,42.02,13.21,173.95,3243.66
1480,229.96,40.90,13.27,175.77,3244.64
1481,225.23,41.16,13.11,170.94,3244.89
1482,222.76,41.44,13.17,168.13,3244.89
1483,266.53,40.30,13.22,212.98,3218.16
1484,239.53,41.77,13.33,184.41,3239.82
1485,223.62,38.26,13.09,172.26,3240.31
1486,225.34,38.02,13.01,174.29,3240.80
1487,222.43,38.56,13.17,170.68,3240.80
1488,228.04,38.61,12.91,176.49,3242.50
1489,227.22,41.42,13.35,172.43,3242.50
1490,222.37,38.97,13.20,170.19,3242.74
1491,224.08,38.03,13.14,172.89,3242.99
1492,254.95,40.23,13.20,201.49,3244.96
1493,228.22,38.76,13.31,176.12,3244.96
1494,227.77,38.04,13.11,176.61,3245.20
1495,224.26,37.96,13.13,173.15,3245.20
1496,224.38,40.48,13.11,170.78,3245.46
1497,222.09,40.54,13.33,168.20,3245.69
1498,223.98,40.32,13.23,170.40,3245.69
1499,223.79,40.63,13.08,170.07,3245.69
1500,223.05,40.74,13.26,169.02,3246.18
1501,250.67,40.69,13.17,196.80,3247.81
1502,228.85,41.17,13.50,174.17,3247.81
1503,229.31,40.56,13.12,175.60,3249.54
1504,229.86,38.25,13.18,178.41,3249.53
1505,222.46,38.33,13.41,170.70,3249.28
1506,224.19,37.99,13.06,173.12,3249.28
1507,225.86,38.10,13.00,174.75,3249.28
1508,226.90,41.03,13.12,172.73,3249.28
1509,224.46,38.74,13.53,172.18,3249.77
1510,265.74,38.95,13.13,213.65,3219.84
1511,234.62,40.19,13.68,180.73,3237.05
1512,232.75,40.54,13.22,178.96,3240.28
1513,226.04,38.66,13.25,174.12,3241.25
1514,224.53,38.79,13.11,172.61,3242.48
1515,226.97,38.89,13.15,174.90,3243.46
1516,225.01,38.26,13.68,173.05,3244.20
1517,224.99,38.17,13.15,173.65,3245.19
1518,222.99,38.74,13.34,170.89,3245.68
1519,251.71,39.26,13.68,198.74,3247.65
1520,240.22,45.07,13.74,181.39,3247.64
1521,244.74,38.05,13.75,192.92,3248.63
1522,229.42,42.86,14.66,171.87,3248.63
1523,225.98,40.53,13.24,172.19,3248.87
1524,243.55,52.97,17.09,173.47,3248.64
1525,228.55,41.27,13.40,173.87,3248.62
1526,221.74,40.53,13.19,168.00,3248.62
1527,221.88,40.75,13.11,168.01,3248.62
1528,249.69,40.31,13.18,196.18,3250.34
1529,227.47,40.44,13.25,173.76,3250.83
1530,227.68,40.32,13.29,174.07,3250.83
1531,226.00,40.41,13.11,172.47,3251.08
1532,226.52,37.94,13.00,175.56,3251.32
1533,226.49,40.63,13.12,172.72,3251.07
1534,226.22,40.38,13.14,172.67,3251.32
1535,223.70,40.60,13.22,169.86,3251.32
1536,221.99,40.41,13.12,168.44,3251.79
1537,254.15,40.41,13.33,200.40,3253.02
1538,229.44,40.86,13.32,175.24,3253.02
1539,250.37,42.03,13.59,194.73,3228.36
1540,237.73,41.69,13.08,182.93,3231.56
1541,230.47,41.52,13.32,175.60,3232.79
1542,233.73,42.00,13.57,178.15,3233.28
1543,233.71,40.55,13.16,179.98,3234.02
1544,228.93,40.32,13.18,175.42,3234.51
1545,226.38,41.23,13.18,171.95,3235.49
1546,255.91,40.37,13.17,202.35,3236.23
1547,238.67,40.75,13.22,184.68,3248.77
1548,232.55,40.69,13.24,178.60,3250.00
1549,230.31,38.07,13.30,178.92,3250.00
1550,232.15,40.40,13.06,178.67,3250.00
1551,229.21,40.53,13.11,175.55,3250.00
1552,233.00,40.38,13.50,179.09,3250.25
1553,229.94,40.49,13.22,176.21,3250.26
1554,225.51,40.70,13.16,171.64,3251.72
1555,255.58,40.51,13.12,201.93,3251.97
1556,233.17,38.84,13.20,181.11,3252.22
1557,229.41,38.04,13.23,178.12,3252.21
1558,218.93,41.24,12.78,164.89,3252.21
1559,233.71,41.18,13.25,179.26,3252.21
1560,237.13,38.90,13.22,184.98,3253.88
1561,227.30,38.82,13.06,175.40,3253.88
1562,229.09,43.62,13.01,172.45,3254.27
1563,219.61,38.32,13.12,168.15,3254.62
1564,254.79,39.76,13.45,201.52,3255.70
1565,230.16,38.50,13.19,178.45,3255.70
1566,229.17,39.06,13.17,176.92,3255.70
1567,246.75,38.60,13.27,194.87,3215.20
1568,238.36,40.38,13.26,184.71,3241.04
1569,228.44,40.06,13.16,175.20,3243.00
1570,225.75,38.64,13.09,174.00,3243.74
1571,221.38,38.59,13.24,169.54,3244.73
1572,223.05,39.13,13.23,170.67,3251.61
1573,252.60,38.75,13.35,200.48,3253.58
1574,228.37,38.64,13.34,176.36,3253.58
1575,230.79,38.77,13.12,178.89,3254.07
1576,232.02,39.14,13.11,179.76,3255.54
1577,226.98,39.16,13.23,174.57,3255.79
1578,226.65,41.07,13.16,172.39,3256.28
1579,211.84,41.20,12.74,157.88,3256.28
1580,226.62,40.83,13.30,172.48,3256.28
1581,234.07,40.76,13.28,180.02,3257.08
1582,257.80,38.03,13.14,206.61,3257.57
1583,234.02,38.22,13.26,182.52,3259.57
1584,233.61,38.66,13.29,181.65,3259.54
1585,234.12,39.08,13.15,181.87,3258.81
1586,235.46,40.70,14.02,180.72,3259.26
1587,227.99,41.10,13.33,173.54,3259.26
1588,227.42,38.03,13.22,176.15,3259.26
1589,232.76,38.61,13.97,180.16,3259.89
1590,226.90,38.43,13.29,175.16,3259.89
1591,256.86,38.16,13.30,205.38,3259.80
1592,232.63,39.13,13.46,180.02,3259.57
1593,232.33,38.60,13.33,180.38,3259.81
1594,230.24,38.09,13.23,178.90,3259.81
1595,246.54,40.51,13.32,192.69,3233.75
1596,236.19,39.15,13.26,183.76,3246.70
1597,229.28,39.01,13.49,176.76,3249.65
1598,227.12,40.49,13.29,173.33,3250.64
1599,229.59,41.11,13.23,175.24,3251.38
1600,258.91,40.88,13.63,204.39,3253.10
1601,240.60,40.76,13.45,186.37,3254.65
1602,230.44,38.30,13.25,178.87,3254.90
1603,232.58,40.47,13.31,178.78,3254.82
1604,227.89,38.37,13.12,176.38,3255.06
1605,229.24,38.46,13.09,177.67,3256.54
1606,228.68,38.00,13.28,177.39,3256.54
1607,225.80,37.94,13.11,174.73,3256.79
1608,228.14,38.35,13.17,176.60,3256.79
1609,256.15,38.14,13.52,204.46,3257.99
1610,227.30,38.38,13.26,175.65,3258.23
1611,230.62,38.05,13.18,179.37,3258.31
1612,234.20,40.57,13.25,180.36,3258.48
1613,226.44,39.13,14.01,173.27,3258.48
1614,226.52,38.83,13.43,174.23,3258.48
1615,228.70,39.31,13.54,175.83,3258.48
1616,208.67,38.88,12.78,156.98,3258.72
1617,227.60,38.69,13.13,175.76,3258.96
1618,249.25,38.10,13.15,197.98,3258.96
1619,1466.52,38.01,13.20,1415.30,3202.27
1620,254.56,40.41,13.96,200.17,3204.98
1621,240.81,40.11,13.66,187.01,3206.45
1622,237.50,40.07,13.51,183.91,3207.43
1623,234.14,40.85,13.86,179.41,3208.17
1624,238.17,41.78,13.45,182.92,3210.39
1625,233.74,40.59,13.37,179.76,3210.39
1626,233.66,41.53,13.69,178.42,3210.88
1627,235.43,41.21,13.51,180.70,3211.86
1628,271.89,41.97,13.68,216.23,3212.85
1629,244.75,40.54,13.45,190.73,3212.85
1630,240.21,40.88,13.39,185.92,3213.09
1631,232.80,38.30,13.40,181.08,3213.09
1632,235.07,40.78,13.75,180.52,3214.32
1633,243.94,41.18,13.55,189.19,3238.20
1634,269.86,43.35,13.88,212.62,3117.17
1635,247.74,41.94,13.62,192.16,3132.92
1636,241.55,42.36,13.34,185.83,3154.05
1637,267.34,42.35,13.18,211.78,3155.04
1638,241.68,42.20,13.66,185.80,3155.24
1639,239.07,41.45,13.40,184.20,3157.21
1640,233.48,41.35,13.36,178.75,3157.21
1641,239.98,44.03,15.63,180.29,3158.20
1642,239.45,41.16,13.73,184.54,3158.19
1643,234.85,39.92,13.19,181.71,3159.17
1644,231.11,38.31,13.39,179.39,3159.17
1645,233.92,38.52,13.31,182.08,3159.17
1646,267.03,40.19,13.72,213.11,3159.41
1647,242.19,40.00,13.81,188.36,3160.40
1648,236.77,40.90,13.42,182.43,3161.14
1649,234.30,38.56,13.40,182.32,3161.38
1650,233.82,38.32,13.51,181.98,3162.12
1651,238.37,41.05,13.33,183.97,3163.35
1652,230.77,38.48,13.25,179.02,3164.21
1653,232.09,40.67,13.36,178.03,3164.21
1654,231.20,40.57,13.26,177.36,3163.84
1655,268.05,41.40,13.24,213.40,3165.07
1656,235.20,38.36,13.37,183.45,3165.07
1657,230.96,39.21,13.48,178.24,3165.07
1658,233.50,38.40,13.39,181.70,3165.56
1659,240.89,41.67,13.66,185.54,3166.79
1660,233.99,41.39,13.32,179.26,3166.79
1661,235.72,41.67,13.37,180.66,3167.53
1662,229.37,38.47,13.28,177.60,3167.52
1663,247.59,38.17,13.09,196.31,3149.36
1664,262.96,39.69,13.58,209.66,3150.34
1665,236.74,38.25,13.39,185.08,3151.08
1666,234.23,39.15,13.26,181.79,3151.08
1667,233.10,39.27,13.72,180.09,3152.55
1668,230.82,39.32,13.36,178.12,3152.80
1669,231.93,39.15,13.36,179.40,3153.54
1670,232.05,38.80,13.27,179.96,3153.54
1671,233.54,38.20,13.46,181.86,3155.26
1672,228.50,39.31,13.36,175.81,3155.26
1673,258.65,39.30,13.29,206.04,3155.50
1674,237.91,41.83,13.75,182.31,3156.95
1675,236.87,39.47,13.40,183.97,3157.94
1676,234.85,42.10,13.40,179.33,3157.94
1677,236.52,41.36,13.39,181.75,3158.18
1678,237.37,42.32,13.42,181.61,3158.18
1679,234.18,41.44,13.34,179.37,3158.68
1680,229.47,38.81,13.38,177.26,3158.68
1681,229.71,41.71,13.34,174.64,3159.66
1682,255.76,40.95,13.20,201.59,3159.65
1683,234.59,41.27,13.37,179.94,3161.12
1684,232.43,40.78,13.31,178.32,3161.12
1685,231.49,40.74,13.29,177.45,3161.12
1686,236.06,41.19,13.71,181.14,3161.37
1687,230.52,39.45,13.42,177.64,3161.37
1688,229.48,38.31,13.42,177.73,3161.37
1689,227.75,40.92,13.37,173.44,3161.38
1690,229.89,38.54,13.33,178.01,3161.37
1691,277.13,38.77,13.51,224.83,3151.18
1692,234.95,39.20,13.46,182.28,3154.88
1693,233.30,38.76,13.24,181.28,3155.86
1694,231.17,39.57,13.62,177.96,3156.10
1695,235.59,40.07,13.36,182.14,3156.59
1696,236.38,42.03,13.57,180.76,3156.59
1697,228.19,39.49,13.32,175.36,3156.84
1698,233.27,41.29,13.25,178.71,3157.30
1699,229.60,38.69,13.47,177.42,3157.30
1700,256.56,38.91,13.20,204.42,3145.15
1701,237.97,40.26,13.53,184.16,3147.00
1702,233.28,40.72,13.36,179.19,3146.91
1703,231.43,38.76,13.28,179.37,3148.64
1704,230.12,38.48,13.43,178.19,3148.43
1705,229.07,38.24,13.33,177.48,3148.39
1706,230.92,41.33,13.44,176.12,3148.63
1707,229.35,38.58,13.38,177.37,3150.13
1708,230.55,41.25,13.29,175.98,3150.38
1709,254.79,41.21,13.24,200.32,3150.87
1710,236.55,40.63,13.34,182.57,3151.12
1711,232.20,38.89,13.33,179.97,3151.12
1712,232.04,38.57,13.21,180.25,3151.36
1713,227.49,38.32,13.29,175.86,3151.16
1714,233.34,38.35,13.32,181.65,3151.61
1715,228.96,38.64,13.42,176.87,3151.85
1716,229.31,39.03,13.38,176.88,3152.10
1717,225.38,39.00,13.33,173.04,3152.10
1718,273.46,39.63,13.41,220.41,3129.08
1719,233.79,40.57,13.70,179.50,3131.95
1720,235.14,40.50,13.46,181.15,3132.69
1721,254.52,39.53,13.39,201.58,3156.69
1722,236.65,41.03,14.55,181.04,3163.61
1723,235.22,39.87,13.40,181.93,3164.74
1724,230.79,40.06,13.73,176.97,3167.94
1725,226.66,39.62,13.26,173.76,3170.75
1726,215.99,39.53,13.08,163.35,3168.21
1727,253.29,40.19,13.35,199.73,3169.43
1728,231.29,39.92,13.40,177.96,3173.43
1729,233.79,39.37,13.44,180.96,3169.66
1730,234.47,39.01,13.43,182.02,3167.89
1731,232.91,39.52,13.17,180.20,3168.87
1732,228.74,38.86,13.29,176.58,3169.11
1733,227.87,38.18,13.26,176.40,3169.10
1734,226.42,38.51,13.35,174.54,3169.09
1735,228.57,38.91,13.61,176.03,3172.56
1736,256.23,38.72,13.40,204.09,3174.56
1737,232.87,38.80,13.29,180.76,3170.55
1738,237.52,39.43,13.68,184.40,3172.79
1739,237.41,42.42,14.00,180.98,3173.77
1740,229.45,40.06,13.38,175.99,3173.76
1741,232.50,38.85,13.15,180.48,3173.76
1742,226.65,38.44,13.59,174.61,3173.52
1743,229.41,38.60,13.56,177.22,3175.99
1744,231.83,41.32,13.42,177.06,3171.98
1745,258.88,39.76,14.20,204.89,3174.47
1746,237.05,41.22,15.01,180.80,3173.18
1747,265.69,40.91,13.26,211.49,3137.04
1748,234.24,40.54,14.12,179.56,3143.96
1749,231.84,39.00,13.41,179.41,3142.94
1750,240.12,39.35,13.35,187.40,3175.54
1751,231.01,40.49,13.27,177.23,3172.27
1752,226.22,39.11,13.26,173.83,3170.98
1753,225.91,39.02,13.34,173.53,3171.71
1754,255.18,42.16,13.34,199.66,3173.67
1755,234.47,41.34,13.29,179.82,3173.91
1756,237.97,41.31,13.42,183.22,3171.91
1757,235.13,42.97,14.24,177.90,3172.14
1758,234.91,41.66,13.45,179.78,3172.88
1759,235.60,41.16,13.79,180.63,3173.61
1760,231.61,41.04,13.48,177.07,3173.61
1761,231.11,41.52,13.38,176.20,3175.84
1762,240.66,46.15,15.04,179.44,3179.05
1763,263.31,41.76,13.35,208.18,3177.30
1764,240.43,41.84,13.65,184.91,3175.29
1765,224.97,42.32,13.03,169.55,3175.28
1766,243.09,41.39,13.48,188.20,3177.28
1767,237.07,41.37,13.34,182.34,3175.51
1768,239.64,41.63,13.45,184.54,3175.75
1769,234.75,41.44,13.33,179.96,3175.77
1770,231.01,40.72,13.33,176.94,3177.42
1771,232.83,40.61,13.36,178.84,3177.41
1772,260.58,40.99,13.17,206.41,3179.41
1773,235.18,40.77,13.41,180.98,3179.18
1774,239.28,40.65,13.42,185.19,3177.91
1775,254.99,40.89,13.28,200.81,3152.94
1776,233.45,39.51,13.44,180.45,3156.66
1777,237.00,38.86,13.31,184.81,3168.68
1778,239.17,41.47,13.39,184.29,3170.64
1779,241.34,46.77,15.28,179.26,3173.37
1780,233.67,41.40,13.73,178.52,3176.11
1781,255.32,38.81,13.41,203.07,3176.84
