Frame,Total_Inf(ms),YOLO(ms),ResNet(ms),UNet(ms),RAM(MB)
273,223.42,38.13,13.28,171.98,3182.44
274,255.85,38.14,13.23,204.47,3184.12
275,230.58,38.76,13.34,178.46,3182.36
276,228.30,38.62,13.02,176.64,3184.60
277,246.28,38.74,13.18,194.34,3151.42
278,244.47,39.60,13.27,191.59,3175.36
279,229.58,39.99,13.29,176.28,3175.89
280,229.66,38.88,13.25,177.51,3179.09
281,225.48,38.93,13.23,173.30,3181.92
282,239.05,41.60,13.49,183.94,3187.36
283,251.45,38.73,13.17,199.54,3189.59
284,232.54,41.05,13.18,178.29,3190.32
285,227.79,41.20,13.22,173.35,3192.31
286,238.05,42.07,13.55,182.42,3191.54
287,231.65,40.47,13.33,177.84,3193.53
288,226.28,40.62,13.29,172.35,3193.52
289,231.38,40.75,13.21,177.41,3191.52
290,233.96,40.60,13.22,180.13,3191.84
291,223.40,38.13,13.10,172.16,3190.08
292,252.02,38.10,13.05,200.84,3189.99
293,230.37,38.29,13.07,178.99,3191.98
294,238.20,38.63,13.39,186.17,3191.98
295,226.93,38.90,13.27,174.74,3195.94
296,225.29,38.03,13.22,174.02,3195.94
297,227.84,38.12,13.22,176.49,3193.93
298,229.66,38.13,13.14,178.37,3193.15
299,225.82,38.34,13.48,173.98,3195.22
300,240.55,38.11,13.12,189.30,3176.28
301,248.16,38.23,13.13,196.78,3179.25
302,230.34,38.10,13.12,179.10,3182.72
303,226.60,38.03,12.93,175.62,3178.71
304,226.33,38.85,13.20,174.27,3184.95
305,225.44,38.71,13.22,173.49,3186.94
306,253.58,39.15,13.20,201.21,3172.00
307,228.47,39.79,13.34,175.32,3175.16
308,224.13,38.71,13.14,172.25,3177.89
309,233.24,41.47,13.21,178.54,3188.83
310,255.15,38.79,13.21,203.13,3192.76
311,213.14,38.94,12.99,161.19,3195.00
312,225.12,38.64,13.10,173.35,3193.25
313,233.33,38.76,13.26,181.30,3169.76
314,237.84,40.73,14.42,182.67,3173.23
315,231.39,41.08,13.17,177.12,3175.23
316,227.46,41.21,13.28,172.94,3177.47
317,232.96,42.08,14.60,176.27,3186.29
318,232.93,40.65,13.15,179.11,3185.75
319,249.07,38.28,13.12,197.66,3186.69
320,223.35,38.16,13.11,172.05,3188.93
321,227.53,38.99,13.09,175.43,3184.93
322,229.77,38.10,13.28,178.38,3185.63
323,229.71,40.80,13.69,175.20,3185.87
324,221.60,40.89,13.00,167.69,3185.86
325,224.72,38.30,13.28,173.12,3186.10
326,226.75,38.96,13.15,174.62,3185.86
327,228.91,39.21,13.51,176.16,3185.83
328,236.40,39.73,12.95,183.70,3190.34
329,230.07,41.33,13.32,175.40,3190.34
330,227.75,38.50,13.21,176.03,3190.57
331,230.60,41.01,13.93,175.64,3189.79
332,229.27,41.02,13.61,174.63,3191.79
333,226.26,38.10,13.23,174.90,3189.79
334,240.41,38.14,13.36,188.90,3172.21
335,235.86,42.47,14.83,178.54,3178.92
336,223.59,38.76,13.18,171.64,3176.38
337,246.86,38.30,13.12,195.42,3180.18
338,227.44,38.43,12.99,176.01,3182.09
339,236.66,40.30,13.16,183.18,3190.14
340,227.56,38.14,13.20,176.19,3192.39
341,228.53,38.09,13.20,177.23,3193.36
342,223.92,38.65,13.16,172.10,3192.08
343,229.84,38.08,12.87,178.87,3195.80
344,223.61,38.43,13.22,171.94,3195.80
345,220.81,38.02,13.27,169.50,3195.87
346,248.36,38.24,13.13,196.97,3195.26
347,237.06,39.11,13.23,184.70,3196.46
348,235.44,41.88,13.57,179.97,3196.95
349,226.83,38.64,13.23,174.94,3196.95
350,223.75,38.76,13.18,171.80,3196.95
351,232.38,38.47,13.31,180.59,3197.20
352,222.36,38.12,13.24,170.99,3196.95
353,225.41,39.28,13.09,173.03,3196.95
354,242.92,38.14,13.71,191.05,3200.79
355,253.01,38.18,13.22,201.59,3197.08
356,226.94,38.86,13.24,174.83,3198.31
357,225.63,39.10,13.12,173.39,3199.16
358,229.54,41.06,13.19,175.27,3199.79
359,234.46,41.08,13.12,180.24,3199.70
360,230.57,40.35,13.11,177.09,3199.73
361,230.12,40.76,13.29,176.05,3202.32
362,250.06,44.57,14.82,190.65,3154.61
363,237.25,41.05,13.20,182.97,3188.08
364,247.86,40.63,13.16,194.05,3188.34
365,237.44,38.44,13.54,185.44,3183.55
366,228.47,37.96,13.13,177.36,3185.41
367,230.01,38.11,13.27,178.62,3185.12
368,231.08,40.09,13.97,176.99,3187.59
369,231.96,38.68,13.61,179.65,3185.36
370,221.55,40.38,13.16,167.99,3189.35
371,233.75,42.52,13.61,177.60,3196.23
372,227.07,38.30,13.22,175.54,3198.44
373,248.27,38.12,13.20,196.92,3196.68
374,231.36,40.97,13.41,176.96,3197.65
375,233.82,40.44,13.24,180.12,3198.87
376,225.83,38.14,13.30,174.37,3198.86
377,227.54,40.51,13.19,173.83,3199.10
378,226.87,38.49,13.18,175.18,3199.09
379,232.11,38.20,13.07,180.82,3199.33
380,226.63,38.38,13.17,175.07,3201.33
381,226.97,39.20,12.93,174.83,3201.82
382,245.92,38.73,13.12,194.06,3199.81
383,230.97,38.70,12.93,179.32,3202.54
384,228.62,42.87,13.96,171.77,3203.04
385,227.20,40.91,13.26,173.01,3203.04
386,226.45,41.06,13.23,172.14,3203.03
387,228.06,41.71,13.49,172.84,3203.03
388,225.78,41.76,13.32,170.67,3203.12
389,231.02,41.08,13.22,176.70,3203.37
390,226.97,40.75,13.30,172.89,3203.38
391,252.60,38.16,13.11,201.31,3185.85
392,233.06,39.40,13.37,180.27,3199.38
393,228.41,40.55,13.26,174.57,3199.62
394,225.81,40.36,13.21,172.22,3199.37
395,222.73,38.30,13.15,171.27,3199.83
396,223.77,38.76,13.39,171.60,3201.05
397,227.86,40.73,13.09,174.02,3201.05
398,221.75,40.99,13.16,167.58,3201.05
399,223.45,40.86,13.33,169.25,3201.29
400,253.68,40.62,13.19,199.85,3201.78
401,233.50,43.66,14.09,175.73,3201.77
402,231.84,42.04,14.78,175.01,3201.77
403,226.93,41.17,12.91,172.84,3201.77
404,232.39,40.27,13.13,178.97,3201.84
405,230.10,41.40,13.47,175.21,3201.84
406,225.54,40.84,13.19,171.49,3201.83
407,222.05,38.00,13.17,170.86,3202.24
408,226.47,41.00,13.17,172.28,3202.97
409,247.24,40.62,13.23,193.38,3203.45
410,227.37,40.59,13.26,173.50,3203.94
411,238.56,41.44,13.30,183.81,3195.48
412,228.55,40.44,13.51,174.58,3198.96
413,218.22,37.93,13.08,167.20,3201.18
414,221.80,38.42,13.47,169.89,3199.18
415,220.61,38.25,13.12,169.23,3201.30
416,225.04,38.32,13.09,173.61,3202.53
417,222.68,38.11,13.16,171.39,3202.52
418,269.02,38.94,13.38,216.69,3176.00
419,227.58,39.11,13.20,175.26,3180.91
420,226.32,39.11,13.05,174.14,3184.36
421,223.86,38.03,13.16,172.66,3184.36
422,225.90,38.69,13.12,174.07,3185.34
423,227.66,41.35,13.24,173.06,3186.33
424,232.43,40.73,13.30,178.38,3188.30
425,227.24,40.75,13.10,173.37,3193.96
426,225.24,40.73,13.27,171.22,3193.96
427,250.94,40.51,13.23,197.19,3194.94
428,229.59,40.50,13.16,175.90,3196.66
429,224.95,40.41,13.19,171.33,3196.66
430,222.11,40.66,13.16,168.26,3196.43
431,220.46,37.99,13.25,169.21,3196.91
432,227.81,40.76,13.13,173.90,3197.64
433,224.66,41.11,13.23,170.29,3197.89
434,221.05,40.60,13.25,167.18,3198.14
435,222.07,38.15,13.26,170.65,3198.14
436,251.19,40.79,13.31,197.07,3198.63
437,226.93,40.85,13.11,172.96,3198.38
438,230.64,40.82,13.53,176.27,3198.38
439,227.01,40.38,13.25,173.35,3198.62
440,222.68,38.10,13.19,171.37,3198.39
441,232.30,38.16,13.18,180.95,3210.99
442,226.29,40.08,13.83,172.36,3211.23
443,231.09,42.79,13.03,175.25,3211.88
444,229.02,40.41,13.17,175.42,3211.75
445,257.01,40.42,13.16,203.41,3213.45
446,242.54,40.47,13.14,188.92,3187.22
447,246.61,41.61,13.38,191.60,3198.38
448,228.68,41.10,13.67,173.88,3194.96
449,228.06,41.38,14.45,172.21,3200.16
450,231.59,41.66,13.31,176.60,3204.12
451,226.65,40.64,13.59,172.40,3205.60
452,230.78,40.49,13.30,176.97,3206.33
453,233.92,41.09,13.31,179.50,3208.05
454,252.78,40.65,13.32,198.79,3209.03
455,235.54,40.33,13.62,181.57,3207.27
456,227.33,40.53,13.14,173.64,3209.27
457,230.54,40.36,13.15,177.02,3208.49
458,224.26,40.34,13.20,170.71,3208.49
459,225.91,38.25,13.26,174.38,3208.48
460,225.85,40.70,13.31,171.82,3208.48
461,226.60,40.64,13.22,172.72,3210.20
462,225.60,38.17,13.27,174.14,3217.89
463,248.50,38.87,13.40,196.21,3219.11
464,226.66,38.85,13.49,174.30,3219.35
465,235.33,37.89,13.12,184.29,3210.73
466,230.97,41.00,13.20,176.75,3220.11
467,226.85,41.85,12.99,171.99,3218.35
468,230.27,41.42,13.23,175.59,3218.35
469,226.36,41.82,13.23,171.29,3217.57
470,222.76,38.73,13.07,170.94,3217.80
471,221.27,39.02,13.13,169.09,3217.80
472,251.62,41.39,13.16,197.06,3221.55
473,224.32,39.50,13.13,171.67,3220.04
474,226.44,42.41,13.14,170.87,3220.03
475,243.29,38.32,13.18,191.78,3175.44
476,228.33,41.70,13.38,173.24,3179.37
477,231.48,42.24,13.20,176.02,3181.05
478,223.10,40.69,13.18,169.21,3185.79
479,224.27,40.44,13.12,170.69,3186.78
480,225.73,40.91,12.99,171.81,3185.76
481,254.02,40.54,13.11,200.35,3163.13
482,231.88,44.03,14.02,173.81,3175.56
483,235.60,42.10,13.27,180.21,3203.61
484,229.47,41.53,13.36,174.55,3205.60
485,215.53,41.21,12.78,161.53,3206.58
486,226.25,41.62,13.07,171.54,3206.57
487,227.15,41.74,13.23,172.16,3206.57
488,228.31,42.11,13.75,172.43,3206.81
489,225.91,41.22,13.14,171.54,3206.81
490,250.08,41.67,13.14,195.25,3208.52
491,228.18,43.51,13.71,170.93,3208.21
492,223.26,40.52,13.17,169.55,3210.20
493,230.09,41.43,13.13,175.52,3210.41
494,227.37,40.93,13.38,173.04,3210.67
495,223.01,38.15,13.18,171.67,3210.91
496,225.16,38.33,13.27,173.53,3211.43
497,224.94,38.43,13.55,172.94,3211.66
498,228.80,40.39,13.16,175.24,3212.89
499,251.43,38.14,13.15,200.12,3213.87
500,227.84,40.69,13.20,173.93,3215.62
501,225.40,40.21,14.62,170.56,3213.86
502,227.21,40.77,13.56,172.86,3213.86
503,241.11,38.45,13.47,189.17,3201.01
504,226.64,39.27,13.37,174.00,3207.16
505,223.74,39.14,13.40,171.18,3208.88
506,228.09,38.16,13.16,176.75,3209.09
507,222.97,39.07,13.11,170.77,3211.54
508,247.26,38.23,13.21,195.80,3211.53
509,225.90,38.20,13.23,174.46,3212.25
510,228.24,38.13,13.14,176.95,3212.51
511,225.43,38.07,13.16,174.18,3214.51
512,225.81,38.29,13.33,174.17,3214.97
513,226.49,40.46,13.18,172.82,3215.21
514,212.08,39.04,13.08,159.94,3216.19
515,223.47,38.69,13.12,171.64,3216.43
516,222.59,39.04,13.57,169.96,3218.89
517,231.11,39.00,12.88,179.21,3211.86
518,1145.99,37.96,13.18,1094.83,3213.06
519,244.62,39.09,14.44,191.08,3212.04
520,232.94,38.72,13.20,181.00,3212.03
521,232.81,41.18,13.24,178.37,3212.27
522,230.20,39.77,13.26,177.16,3214.03
523,264.93,40.97,13.60,210.34,3125.47
524,228.18,41.12,13.36,173.68,3128.42
525,231.51,41.23,13.42,176.84,3130.41
526,235.81,41.30,13.29,181.19,3147.18
527,261.93,41.46,14.02,206.43,3147.39
528,234.69,38.36,13.30,183.02,3149.38
529,232.64,38.30,13.26,181.07,3151.38
530,231.38,38.14,13.19,180.02,3149.38
531,230.57,39.10,13.22,178.22,3150.59
532,227.83,39.32,13.23,175.26,3153.32
533,231.20,38.90,13.11,179.17,3153.07
534,230.24,39.75,13.39,177.07,3151.06
535,230.73,40.20,13.91,176.60,3149.30
536,252.23,38.80,13.34,200.07,3151.30
537,235.21,38.85,13.27,183.07,3153.30
538,231.64,38.78,13.36,179.48,3155.51
539,233.87,38.89,13.30,181.66,3153.51
540,230.85,38.78,13.26,178.80,3151.50
541,231.68,39.73,13.65,178.29,3153.75
542,231.11,38.81,13.23,179.05,3153.50
543,238.18,39.03,13.36,185.78,3151.93
544,228.26,38.79,13.35,176.10,3149.93
545,252.65,39.27,13.30,200.05,3149.92
546,231.83,39.14,13.24,179.43,3150.16
547,235.64,38.83,14.32,182.47,3149.38
548,230.21,38.81,13.39,177.99,3151.38
549,230.90,38.85,13.20,178.83,3149.37
550,228.85,39.20,13.59,176.04,3149.36
551,251.11,41.81,13.24,196.04,3139.94
552,217.00,39.56,13.83,163.59,3149.75
553,229.28,39.36,13.18,176.72,3149.76
554,255.08,39.96,13.34,201.77,3151.51
555,241.72,39.28,13.89,188.53,3153.75
556,230.53,38.25,13.36,178.91,3149.73
557,230.21,38.17,13.30,178.72,3151.73
558,236.30,38.87,13.08,184.33,3147.65
559,237.00,40.91,14.10,181.98,3149.59
560,230.05,38.22,13.19,178.62,3147.82
561,226.83,38.86,13.50,174.46,3147.81
562,232.87,38.25,13.29,181.31,3149.80
563,258.40,38.28,13.25,206.84,3152.51
564,230.57,38.52,13.26,178.76,3150.75
565,231.88,39.25,13.59,179.03,3151.06
566,232.84,41.22,13.36,178.24,3152.98
567,235.99,41.87,13.39,180.71,3154.20
568,230.92,41.52,13.33,176.05,3154.19
569,226.68,38.65,13.51,174.50,3150.43
570,230.05,38.29,13.26,178.49,3148.66
571,239.90,40.59,13.26,186.03,3150.13
572,254.41,41.42,13.47,199.50,3150.37
573,238.68,41.20,13.54,183.92,3150.61
574,235.91,42.17,13.78,179.94,3150.11
575,235.02,40.99,14.38,179.63,3150.34
576,234.93,42.64,14.13,178.14,3149.33
577,230.30,41.44,13.19,175.65,3151.98
578,225.75,41.34,13.32,171.07,3151.48
579,233.39,40.56,13.19,179.62,3149.70
580,244.53,41.78,13.32,189.41,3133.09
581,252.57,41.41,13.41,197.74,3137.30
582,231.19,41.56,13.56,176.06,3141.27
583,231.84,41.45,13.72,176.64,3142.00
584,228.82,42.13,13.48,173.19,3141.99
585,228.85,40.63,13.27,174.93,3141.97
586,227.20,40.67,13.29,173.23,3141.96
587,226.85,38.26,13.21,175.36,3142.94
588,225.81,38.32,13.26,174.21,3138.92
589,228.54,41.28,13.21,174.04,3139.65
590,248.99,40.56,13.21,195.20,3141.64
591,228.66,40.52,13.16,174.97,3139.89
592,226.22,38.13,13.23,174.83,3139.88
593,229.82,40.63,13.28,175.90,3140.36
594,225.74,38.60,13.36,173.76,3142.12
595,225.50,38.35,13.25,173.89,3143.10
596,222.12,38.31,13.26,170.53,3141.33
597,225.82,38.23,13.24,174.34,3145.75
598,225.04,38.23,13.26,173.53,3148.71
599,235.91,41.88,12.60,181.42,3153.88
600,234.04,39.53,13.21,181.08,3154.11
601,233.47,41.20,14.43,177.82,3152.09
602,230.17,39.68,13.41,177.06,3151.84
