Frame,Preprocess (ms),Inference (ms),Postprocess (ms)
347,5.36,40.60,5.79
348,5.29,39.18,5.53
349,4.94,37.64,5.70
350,5.19,39.12,5.83
351,5.09,39.59,5.85
352,5.34,39.82,5.88
353,4.95,37.80,5.76
354,5.09,39.62,5.79
355,5.19,39.58,5.99
356,5.29,40.93,5.84
357,5.36,37.57,5.75
358,4.84,37.65,5.89
359,5.56,39.68,5.83
360,5.27,39.62,5.91
361,4.97,39.09,6.04
362,5.04,39.20,5.82
363,5.29,39.68,5.96
364,5.24,39.67,6.65
365,5.38,39.82,6.70
366,5.15,39.69,5.95
367,5.26,39.63,5.96
368,5.39,37.80,5.90
369,5.03,37.82,6.10
370,5.35,39.65,6.70
371,5.39,39.95,6.40
372,5.43,36.71,5.98
373,4.98,37.97,6.00
374,5.59,39.83,6.53
375,5.28,39.66,5.92
376,5.37,39.14,5.84
377,5.12,38.56,5.94
378,5.29,39.81,5.86
379,5.34,40.59,5.72
380,5.15,37.50,5.45
381,4.95,37.42,5.50
382,5.22,40.71,1.53
383,5.55,39.11,5.47
384,4.94,37.82,5.71
385,5.37,39.02,5.68
386,5.45,39.66,5.68
387,5.50,39.19,5.69
388,4.97,39.26,5.64
389,5.27,39.63,5.66
390,5.58,38.19,5.87
391,4.91,37.49,5.53
392,5.14,39.23,5.64
393,5.43,39.11,6.54
394,4.89,38.06,5.74
395,5.36,39.81,5.75
396,5.37,39.65,5.75
397,5.09,37.30,5.92
398,5.08,38.83,5.92
399,5.36,39.66,5.82
400,5.44,39.66,5.97
401,5.17,39.59,5.87
402,5.07,37.41,5.92
403,5.33,39.07,6.42
404,5.24,39.60,5.89
405,5.08,37.97,5.94
406,5.42,39.60,6.30
407,5.38,38.16,5.68
408,4.84,37.56,5.73
409,5.23,39.05,5.97
410,5.28,40.67,5.82
411,5.32,39.99,5.76
412,5.13,38.48,5.66
413,4.96,37.48,5.73
414,5.23,40.63,5.64
415,5.36,39.86,5.81
416,5.10,36.71,5.50
417,5.14,37.46,5.58
418,5.13,39.20,5.54
419,5.36,40.26,5.49
420,4.87,37.44,5.60
421,5.17,39.37,5.61
422,5.55,38.62,5.50
423,4.82,39.33,5.66
424,5.21,39.32,5.63
425,5.34,39.66,5.51
426,5.17,39.73,5.57
427,4.99,36.21,5.55
428,5.15,38.04,5.67
429,5.29,39.64,5.54
430,4.83,37.27,5.57
431,5.08,38.25,5.65
432,5.31,41.07,5.86
433,5.39,39.77,5.70
434,5.21,38.51,5.52
435,5.14,37.58,5.55
436,5.22,39.21,5.80
437,5.37,42.49,5.78
438,5.11,37.90,5.67
439,5.01,37.62,5.81
440,5.23,39.21,5.82
441,5.28,40.44,5.94
442,5.09,40.73,5.94
443,5.20,38.90,5.75
444,5.00,37.63,5.85
445,5.17,39.52,6.01
446,5.15,39.56,5.67
447,4.97,37.50,6.06
448,5.31,39.86,6.27
449,5.36,39.82,5.84
