Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
295, 11.62, 22.2, 3100.52, 52.39
296, 11.86, 27.8, 3100.52, 52.39
297, 11.62, 26.3, 3100.52, 52.39
298, 11.89, 26.3, 3100.60, 52.39
299, 11.69, 31.6, 3100.60, 52.39
300, 11.70, 26.3, 3100.60, 52.39
301, 11.77, 26.3, 3100.60, 52.39
302, 12.04, 36.8, 3101.58, 52.39
303, 11.71, 33.3, 3101.58, 52.39
304, 12.01, 23.8, 3101.66, 52.39
305, 13.60, 25.0, 3101.66, 52.39
306, 11.76, 26.3, 3101.66, 52.39
307, 11.77, 25.0, 3101.66, 52.39
308, 11.74, 26.3, 3101.66, 52.39
309, 11.73, 25.0, 3101.66, 52.39
310, 11.71, 26.3, 3101.57, 52.39
311, 11.77, 21.1, 3101.57, 52.39
312, 11.94, 26.3, 3101.57, 52.39
313, 11.64, 26.3, 3101.57, 52.39
314, 11.62, 27.8, 3101.57, 52.39
315, 11.85, 27.3, 3101.65, 52.39
316, 11.66, 25.0, 3101.65, 52.39
317, 11.92, 25.0, 3101.65, 52.39
318, 11.59, 28.6, 3102.22, 52.39
319, 11.96, 28.6, 3102.22, 52.39
320, 11.64, 26.3, 3102.05, 52.39
321, 11.78, 22.2, 3102.01, 52.39
322, 11.70, 25.0, 3102.01, 52.39
323, 11.77, 31.8, 3101.96, 52.39
324, 11.83, 22.2, 3101.96, 52.39
325, 11.86, 26.3, 3101.96, 52.39
326, 11.66, 36.8, 3101.96, 52.39
327, 12.03, 23.8, 3102.04, 52.39
328, 11.69, 26.3, 3102.04, 52.39
329, 11.80, 26.3, 3102.04, 52.39
330, 11.64, 27.8, 3102.04, 52.39
331, 11.72, 22.2, 3102.04, 52.39
332, 12.56, 36.8, 3102.54, 52.39
333, 11.74, 36.4, 3102.61, 52.39
334, 11.78, 26.3, 3102.61, 52.39
335, 11.61, 26.3, 3102.57, 52.39
336, 11.68, 22.2, 3102.57, 52.39
337, 11.74, 31.6, 3102.57, 52.39
338, 11.46, 27.8, 3102.57, 52.39
339, 12.64, 21.1, 3102.48, 52.39
340, 12.61, 28.6, 3102.48, 52.39
341, 11.52, 26.3, 3102.48, 52.39
342, 11.53, 31.6, 3102.48, 52.39
343, 11.49, 30.0, 3102.48, 52.39
344, 11.50, 35.0, 3102.48, 52.39
345, 11.76, 26.3, 3102.48, 52.39
346, 11.66, 25.0, 3102.56, 52.39
347, 11.63, 16.7, 3102.56, 52.39
348, 11.76, 25.0, 3102.56, 52.39
349, 11.60, 28.6, 3102.56, 52.39
350, 11.41, 23.5, 3102.56, 52.39
351, 11.59, 21.1, 3102.47, 52.39
352, 11.68, 33.3, 3102.47, 52.39
